Height, Coq, Elpi, normalize, ctx, BuildQuery, TC search, TC Search Full, Refine, msolve, ElpiCompil, ElpiRuntime, Ratio(Coq/Elpi), Ratio(Elpi/Coq)
2, 0.001, 0.001, 4e-05, 0.0, 0.00013, 3e-05, 0.00037, 9e-05, 0.00056, 0.0003, 0.0007, 1.0, 1.0
4, 0.001, 0.001, 5e-05, 0.0, 0.00018, 5e-05, 0.00044, 0.00016, 0.00069, 0.0003, 0.0008, 1.0, 1.0
8, 0.002, 0.002, 7e-05, 1e-05, 0.00036, 9e-05, 0.00072, 0.00036, 0.0012, 0.0006, 0.0014, 1.0, 1.0
16, 0.004, 0.002, 7e-05, 0.0, 0.00029, 0.0001, 0.00062, 0.00055, 0.00128, 0.0003, 0.0014, 2.0, 0.5
32, 0.009, 0.003, 0.00014, 1e-05, 0.00074, 0.00017, 0.00127, 0.00126, 0.00268, 0.0006, 0.0029, 3.0, 0.33333
64, 0.018, 0.006, 0.00016, 0.0, 0.00089, 0.00034, 0.0016, 0.00284, 0.00464, 0.0006, 0.0049, 3.0, 0.33333
128, 0.038, 0.012, 0.00026, 0.0, 0.00164, 0.00064, 0.00273, 0.00658, 0.00956, 0.0006, 0.0098, 3.16667, 0.31579
256, 0.075, 0.026, 0.00045, 0.0, 0.00327, 0.00133, 0.00529, 0.01498, 0.02083, 0.0009, 0.0211, 2.88462, 0.34667
512, 0.14, 0.075, 0.00095, 0.0, 0.00671, 0.00245, 0.01034, 0.05503, 0.06603, 0.0014, 0.0664, 1.86667, 0.53571
1024, 0.213, 0.148, 0.00181, 0.0, 0.01339, 0.0052, 0.02069, 0.1056, 0.12751, 0.0029, 0.1284, 1.43919, 0.69484
2048, 0.425, 0.344, 0.00631, 1e-05, 0.04795, 0.01055, 0.0652, 0.22554, 0.29336, 0.0054, 0.2952, 1.23547, 0.80941
4096, 0.914, 0.708, 0.00726, 0.0, 0.06056, 0.03891, 0.10706, 0.49783, 0.60984, 0.0092, 0.6205, 1.29096, 0.77462
8192, 1.742, 1.475, 0.05244, 1e-05, 0.15394, 0.052, 0.25874, 1.00342, 1.27513, 0.0167, 1.2792, 1.18102, 0.84673
16384, 3.304, 2.825, 0.02957, 0.0, 0.27427, 0.17426, 0.47847, 1.81914, 2.32242, 0.0451, 2.3325, 1.16956, 0.85502
32768, 6.724, 5.591, 0.05934, 0.0, 0.64924, 0.24562, 0.95458, 3.61598, 4.61595, 0.0725, 4.6332, 1.20265, 0.8315
