Height, Coq, Elpi, normalize, ctx, BuildQuery, TC search, TC Search Full, Refine, msolve, ElpiCompil, ElpiRuntime, DIFF, Ratio(Coq/Elpi), Ratio(Elpi/Coq)
2, 0.0, 0.001, 4e-05, 0.0, 8e-05, 3e-05, 0.00032, 4e-05, 0.00044, 0.0003, 0.0006, 0.00056, 0.0, 100
4, 0.001, 0.001, 5e-05, 0.0, 8e-05, 6e-05, 0.00036, 5e-05, 0.0005, 0.0003, 0.0006, 0.0005, 1.0, 1.0
8, 0.002, 0.001, 6e-05, 0.0, 8e-05, 6e-05, 0.00038, 6e-05, 0.00054, 0.0004, 0.0007, 0.00046, 2.0, 0.5
16, 0.004, 0.001, 7e-05, 0.0, 9e-05, 0.0001, 0.00042, 0.0001, 0.00061, 0.0003, 0.0007, 0.00039, 4.0, 0.25
32, 0.009, 0.001, 9e-05, 0.0, 9e-05, 0.00018, 0.00053, 0.00022, 0.00084, 0.0004, 0.001, 0.00016, 9.0, 0.11111
64, 0.018, 0.002, 0.00015, 0.0, 0.0001, 0.00032, 0.00074, 0.00042, 0.00125, 0.0005, 0.0014, 0.00075, 9.0, 0.11111
128, 0.037, 0.004, 0.00024, 0.0, 0.00012, 0.00061, 0.00116, 0.00093, 0.00219, 0.0006, 0.0024, 0.00181, 9.25, 0.10811
256, 0.078, 0.008, 0.00045, 0.0, 0.00016, 0.00122, 0.00203, 0.0021, 0.00424, 0.0009, 0.0045, 0.00376, 9.75, 0.10256
512, 0.139, 0.018, 0.0009, 1e-05, 0.00026, 0.00287, 0.00428, 0.00478, 0.0092, 0.0015, 0.0096, 0.0088, 7.72222, 0.1295
1024, 0.219, 0.042, 0.00188, 0.0, 0.00047, 0.00541, 0.00802, 0.01079, 0.01897, 0.0025, 0.0196, 0.02303, 5.21429, 0.19178
2048, 0.413, 0.112, 0.00621, 1e-05, 0.00081, 0.01831, 0.0257, 0.04, 0.06595, 0.0054, 0.0678, 0.04605, 3.6875, 0.27119
4096, 0.807, 0.215, 0.00717, 0.0, 0.00159, 0.02043, 0.02945, 0.05043, 0.08005, 0.0089, 0.0905, 0.13495, 3.75349, 0.26642
8192, 1.717, 0.461, 0.05166, 0.0, 0.00305, 0.0619, 0.11691, 0.14796, 0.26503, 0.0168, 0.2691, 0.19597, 3.72451, 0.26849
16384, 3.304, 0.975, 0.02888, 0.0, 0.00636, 0.10769, 0.14325, 0.37361, 0.51705, 0.0433, 0.5263, 0.45795, 3.38872, 0.2951
32768, 6.465, 2.083, 0.05787, 0.0, 0.01635, 0.26604, 0.34065, 0.77209, 1.11294, 0.0695, 1.1302, 0.97006, 3.1037, 0.3222

