HEIGHT, TC, BUILD, REFINE, COQ
2,5e-05,0.00034,0.00048,0.001,0.0
4,4e-05,0.00028,0.00043,0.001,0.002
8,7e-05,0.00042,0.00071,0.001,0.002
16,0.0001,0.00057,0.0012,0.002,0.004
32,0.00017,0.00094,0.00233,0.003,0.008
64,0.00032,0.00162,0.00434,0.005,0.019
128,0.00067,0.00331,0.00971,0.011,0.037
256,0.00124,0.00613,0.02042,0.023,0.076
512,0.00252,0.0124,0.06555,0.073,0.132
1024,0.00515,0.02472,0.13033,0.145,0.22
2048,0.01029,0.07356,0.2981,0.341,0.425
4096,0.03865,0.13572,0.61694,0.681,0.82
8192,0.05053,0.30157,1.22178,1.379,1.683
16384,0.17903,0.65978,2.46054,2.787,3.284
32768,0.24595,1.24299,5.06982,5.843,7.02
