HEIGHT, TC, BUILD, OVERHEAD, REFINE, COQ
2,3e-05,0.00019,0.00075,0.001,0.0
4,6e-05,0.00025,0.00076,0.001,0.001
8,6e-05,0.00027,0.00073,0.001,0.002
16,0.0001,0.00036,0.00075,0.001,0.004
32,0.00018,0.00055,0.00071,0.001,0.009
64,0.00032,0.0009,0.00165,0.002,0.018
128,0.00061,0.0016,0.00341,0.004,0.037
256,0.00122,0.00306,0.00682,0.008,0.078
512,0.00287,0.00691,0.01571,0.018,0.139
1024,0.00541,0.01318,0.03621,0.042,0.219
2048,0.01831,0.04365,0.08969,0.112,0.413
4096,0.02043,0.04961,0.18456,0.215,0.807
8192,0.0619,0.17851,0.37448,0.461,1.717
16384,0.10769,0.25063,0.70859,0.975,3.304
32768,0.26604,0.60631,1.57637,2.083,6.465
