HEIGHT, TC, BUILD, OVERHEAD, REFINE, COQ
2,3e-05,0.00018,0.00061,0.001,0.0
4,3e-05,0.00018,0.0005,0.001,0.001
8,3e-05,0.00021,0.00039,0.001,0.002
16,4e-05,0.00022,0.00022,0.001,0.004
32,4e-05,0.00026,0.0009,0.002,0.008
64,4e-05,0.00032,0.00043,0.002,0.018
128,5e-05,0.00046,0.00146,0.004,0.036
256,7e-05,0.00074,0.00261,0.007,0.076
512,0.00012,0.00137,0.00485,0.013,0.138
1024,0.00017,0.00248,0.00847,0.024,0.22
2048,0.00039,0.00796,0.02058,0.072,0.414
4096,0.00061,0.00978,0.0493,0.112,0.773
8192,0.00122,0.05817,0.10868,0.267,1.772
16384,0.00258,0.04493,0.18991,0.513,3.355
32768,0.00679,0.08842,0.3159,0.954,6.627
