Height, Coq, Elpi, normalize, ctx, BuildQuery, TC search, TC Search Full, Refine, msolve, ElpiCompil, ElpiRuntime, DIFF, Ratio(Coq/Elpi), Ratio(Elpi/Coq)
2, 0.0, 0.001, 4e-05, 0.0, 8e-05, 3e-05, 0.0003, 0.00016, 0.00056, 0.0003, 0.0007, 0.00044, 0.0, 100
4, 0.001, 0.001, 5e-05, 0.0, 7e-05, 3e-05, 0.00031, 0.00027, 0.00068, 0.0003, 0.0008, 0.00032, 1.0, 1.0
8, 0.002, 0.001, 6e-05, 0.0, 8e-05, 3e-05, 0.00034, 0.00038, 0.00082, 0.0003, 0.0009, 0.00018, 2.0, 0.5
16, 0.004, 0.001, 7e-05, 0.0, 8e-05, 4e-05, 0.00034, 0.00055, 0.001, 0.0003, 0.0011, -0.0, 4.0, 0.25
32, 0.008, 0.002, 9e-05, 0.0, 9e-05, 4e-05, 0.00039, 0.00085, 0.00137, 0.0004, 0.0015, 0.00063, 4.0, 0.25
64, 0.018, 0.002, 0.00014, 0.0, 0.0001, 4e-05, 0.00044, 0.00133, 0.00189, 0.0004, 0.002, 0.00011, 9.0, 0.11111
128, 0.036, 0.004, 0.00024, 0.0, 0.00012, 5e-05, 0.00058, 0.00228, 0.00301, 0.0006, 0.0032, 0.00099, 9.0, 0.11111
256, 0.076, 0.007, 0.00045, 0.0, 0.00016, 7e-05, 0.00085, 0.00411, 0.00513, 0.0009, 0.0054, 0.00187, 10.85714, 0.09211
512, 0.138, 0.013, 0.00086, 0.0, 0.00027, 0.00012, 0.00144, 0.00783, 0.00952, 0.0014, 0.0099, 0.00348, 10.61538, 0.0942
1024, 0.22, 0.024, 0.00172, 0.0, 0.00041, 0.00017, 0.00251, 0.01518, 0.01801, 0.0025, 0.0186, 0.00599, 9.16667, 0.10909
2048, 0.414, 0.072, 0.00638, 1e-05, 0.00079, 0.00039, 0.0079, 0.05092, 0.05938, 0.0047, 0.0612, 0.01262, 5.75, 0.17391
4096, 0.773, 0.112, 0.0071, 0.0, 0.00147, 0.00061, 0.00942, 0.06224, 0.07249, 0.0095, 0.0883, 0.03951, 6.90179, 0.14489
8192, 1.772, 0.267, 0.05264, 0.0, 0.00308, 0.00122, 0.05721, 0.15776, 0.21649, 0.0172, 0.2207, 0.05051, 6.6367, 0.15068
16384, 3.355, 0.513, 0.03305, 0.0, 0.00671, 0.00258, 0.04265, 0.32241, 0.36802, 0.0431, 0.377, 0.14498, 6.53996, 0.15291
32768, 6.627, 0.954, 0.05916, 0.0, 0.01567, 0.00679, 0.08193, 0.63732, 0.72651, 0.0745, 0.7469, 0.22749, 6.94654, 0.14396
