HEIGHT, TC, BUILD, OVERHEAD, REFINE, COQ
2,3e-05,0.00019,0.00065,0.001,0.0
4,3e-05,0.00019,0.00059,0.001,0.001
8,3e-05,0.0002,0.00054,0.001,0.002
16,3e-05,0.00021,0.00048,0.001,0.004
32,3e-05,0.00026,0.00035,0.001,0.009
64,5e-05,0.00042,0.00103,0.002,0.018
128,5e-05,0.00047,0.00093,0.002,0.038
256,7e-05,0.00075,0.00226,0.004,0.097
512,0.00012,0.00138,0.00424,0.007,0.14
1024,0.00024,0.00275,0.00884,0.014,0.222
2048,0.0004,0.00758,0.02135,0.036,0.44
4096,0.00073,0.01066,0.04875,0.067,0.832
8192,0.00132,0.0611,0.11252,0.148,1.752
16384,0.00325,0.043,0.16764,0.255,3.404
32768,0.00672,0.08738,0.29307,0.473,6.71
