Height, Coq, Elpi, normalize, ctx, BuildQuery, TC search, TC Search Full, Refine, msolve, ElpiCompil, ElpiRuntime, DIFF, Ratio(Coq/Elpi), Ratio(Elpi/Coq)
2, 0.0, 0.001, 4e-05, 0.0, 8e-05, 3e-05, 0.00032, 0.00013, 0.00054, 0.0003, 0.0007, 0.00046, 0.0, 100
4, 0.001, 0.001, 5e-05, 0.0, 8e-05, 3e-05, 0.00032, 0.00019, 0.0006, 0.0003, 0.0007, 0.0004, 1.0, 1.0
8, 0.002, 0.001, 5e-05, 0.0, 8e-05, 3e-05, 0.00032, 0.00024, 0.00066, 0.0003, 0.0008, 0.00034, 2.0, 0.5
16, 0.004, 0.001, 6e-05, 0.0, 8e-05, 3e-05, 0.00033, 0.0003, 0.00073, 0.0003, 0.0008, 0.00027, 4.0, 0.25
32, 0.009, 0.001, 9e-05, 0.0, 9e-05, 3e-05, 0.00038, 0.00042, 0.0009, 0.0004, 0.001, 0.0001, 9.0, 0.11111
64, 0.018, 0.002, 0.00019, 0.0, 0.00013, 5e-05, 0.0006, 0.00066, 0.00138, 0.0006, 0.0016, 0.00062, 9.0, 0.11111
128, 0.038, 0.002, 0.00024, 0.0, 0.00012, 5e-05, 0.00058, 0.00084, 0.00154, 0.0006, 0.0017, 0.00046, 19.0, 0.05263
256, 0.097, 0.004, 0.00045, 0.0, 0.00016, 7e-05, 0.00085, 0.00152, 0.00249, 0.0009, 0.0027, 0.00151, 24.25, 0.04124
512, 0.14, 0.007, 0.00087, 0.0, 0.00027, 0.00012, 0.00146, 0.00253, 0.00414, 0.0015, 0.0045, 0.00286, 20.0, 0.05
1024, 0.222, 0.014, 0.00178, 1e-05, 0.00049, 0.00024, 0.00278, 0.0049, 0.00792, 0.0026, 0.0086, 0.00608, 15.85714, 0.06306
2048, 0.44, 0.036, 0.00598, 1e-05, 0.0008, 0.0004, 0.00751, 0.01433, 0.02223, 0.0047, 0.0242, 0.01377, 12.22222, 0.08182
4096, 0.832, 0.067, 0.00739, 0.0, 0.00179, 0.00073, 0.01017, 0.01813, 0.02891, 0.0095, 0.0473, 0.0381, 12.41791, 0.08053
8192, 1.752, 0.148, 0.05518, 0.0, 0.00326, 0.00132, 0.06007, 0.03543, 0.09657, 0.0181, 0.1011, 0.05143, 11.83784, 0.08447
16384, 3.404, 0.255, 0.03004, 0.0, 0.00647, 0.00325, 0.04009, 0.08872, 0.13036, 0.0459, 0.1395, 0.12464, 13.34902, 0.07491
32768, 6.71, 0.473, 0.05854, 0.0, 0.01539, 0.00672, 0.08097, 0.1829, 0.26731, 0.0738, 0.2875, 0.20569, 14.18605, 0.07049
