HEIGHT, TC, BUILD, OVERHEAD, REFINE, COQ
2,4e-05,0.00032,0.00089,0.001,0.0
4,5e-05,0.00039,0.00082,0.001,0.001
8,6e-05,0.00045,0.00068,0.001,0.002
16,9e-05,0.00064,0.00133,0.002,0.006
32,0.00016,0.00105,0.00241,0.004,0.012
64,0.00035,0.00205,0.00353,0.007,0.025
128,0.00063,0.00377,0.00632,0.014,0.048
256,0.00117,0.00724,0.01207,0.029,0.098
512,0.00245,0.01557,0.02571,0.093,0.197
1024,0.02311,0.05911,0.08281,0.173,0.315
2048,0.00971,0.08691,0.13723,0.372,0.585
4096,0.01981,0.16016,0.28327,0.8,1.155
8192,0.03824,0.35946,0.63235,1.59,2.361
16384,0.07762,0.69481,1.21975,3.122,4.701
32768,0.21968,1.51341,2.71626,7.247,9.406
