HEIGHT, TC, BUILD, OVERHEAD, REFINE, COQ
2,4e-05,0.00024,0.00096,0.001,0.0
4,4e-05,0.00028,0.00096,0.001,0.001
8,6e-05,0.00039,0.00094,0.001,0.002
16,0.0001,0.00058,0.00089,0.001,0.005
32,0.00016,0.00102,0.00179,0.002,0.011
64,0.00029,0.00181,0.00255,0.003,0.023
128,0.00058,0.00372,0.00599,0.007,0.048
256,0.00113,0.00697,0.01174,0.014,0.121
512,0.00225,0.01405,0.02292,0.028,0.179
1024,0.02136,0.05484,0.07577,0.087,0.294
2048,0.00932,0.08031,0.13005,0.17,0.56
4096,0.01914,0.15863,0.30005,0.355,1.115
8192,0.03823,0.35005,0.57871,0.733,2.295
16384,0.08015,0.7003,1.25296,1.606,4.539
32768,0.2167,1.38139,2.40536,3.185,8.988
