HEIGHT, TC, BUILD, OVERHEAD, REFINE, COQ
2,3e-05,0.00022,0.00084,0.001,0.0
4,3e-05,0.00026,0.00079,0.001,0.0
8,3e-05,0.00036,0.00068,0.001,0.001
16,3e-05,0.00059,0.00152,0.002,0.001
32,4e-05,0.00093,0.00116,0.002,0.002
64,7e-05,0.00183,0.0034,0.005,0.002
128,7e-05,0.00319,0.00444,0.007,0.003
256,0.00014,0.00622,0.00916,0.014,0.005
512,0.00016,0.01206,0.01716,0.028,0.009
1024,0.00033,0.03437,0.04375,0.078,0.017
2048,0.00052,0.07181,0.09569,0.143,0.045
4096,0.0012,0.13942,0.21692,0.294,0.045
8192,0.002,0.3097,0.39821,0.56,0.07
16384,0.00426,0.62986,0.79713,1.13,0.178
32768,0.00933,1.17756,1.54027,2.157,0.321
